index,value,label,ts,iso_time,session
0,R,Rosu,,,
1,R,Rosu,,,
2,N,Negru,,,
3,R,Rosu,,,
4,N,Negru,,,
5,N,Negru,,,
6,R,Rosu,,,
7,R,Rosu,,,
8,R,Rosu,,,
9,V,Verde,,,
10,V,Verde,,,
11,R,Rosu,,,
12,R,Rosu,,,
13,N,Negru,,,
14,R,Rosu,,,
15,N,Negru,,,
16,N,Negru,,,
17,R,Rosu,,,
18,R,Rosu,,,
19,R,Rosu,,,
20,N,Negru,,,
21,R,Rosu,,,
22,V,Verde,,,
23,V,Verde,,,
24,N,Negru,,,
25,N,Negru,,,
26,R,Rosu,,,
27,N,Negru,,,
28,R,Rosu,,,
29,R,Rosu,,,
30,V,Verde,,,
31,R,Rosu,,,
32,N,Negru,,,
33,N,Negru,,,
34,R,Rosu,,,
35,N,Negru,,,
36,N,Negru,,,
37,R,Rosu,,,
38,N,Negru,,,
